headline,topic
"['teenager', '16', 'who', 'changed', 'gender', 'while', 'starting', 'studying', 'her', 'gcse', 'subjects', 'and', 'encouraged', 'her', 'school', 'to', 'change', 'its', 'uniform', 'policy', 'and', 'bring', 'in', 'unisex', 'toilets', 'celebrates', 'a', 'bumper', 'batch', 'of', 'exam', 'results']",['news']
"['revealed', 'pupils', 'only', 'had', 'to', 'get', '18', 'on', 'one', 'gcse', 'maths', 'paper', 'to', 'earn', 'a', 'c', 'despite', 'government', 'bid', 'to', 'toughen', 'up', 'exams']",['news']
"['girls', 'close', 'the', 'gap', 'with', 'higher', 'gcse', 'grades', 'in', 'traditionally', 'male-dominated', 'subjects', 'such', 'as', 'maths', 'physics', 'and', 'computer', 'science']",['news']
"['so', 'much', 'for', 'harder', 'exams', 'number', 'of', 'gcse', 'pupils', 'getting', 'top', 'grades', 'rises', 'for', 'the', 'second', 'year', 'running', 'despite', 'shake-up', 'to', 'tackle', ""'dumbing"", 'down']",['news']
"['did', 'scaremongering', 'over', ""'tough"", 'new', 'gcses', 'drive', 'grades', 'up', 'headteachers', 'say', 'pupils', 'and', 'staff', 'faced', 'more', 'pressure', 'this', 'year', 'because', 'it', 'was', 'harder', 'to', 'get', 'top', 'marks', 'after', 'huge', 'exam', 'shake-up']",['news']
"['now', 'the', 'party', 'starts', 'ocean', 'of', 'tents', 'covers', 'fields', 'in', 'leeds', 'and', 'reading', 'as', 'gcse', 'students', 'join', 'thousands', 'getting', 'set', 'for', 'four-day', 'festival']",['news']
"['837', 'teenagers', 'score', 'clean', 'sweep', 'of', 'highest', 'gcse', 'grade', 'after', 'exams', 'shake-up']",['wires']
"['gcse', 'student', 'gets', 'straight', '9s', 'despite', 'chronic', 'illnesses']",['wires']
"['britain', ""'s"", 'toughest', ""'tiger"", 'teacher', 'live', 'tweets', 'gcse', 'pupils', 'exam', 'joy', 'as', 'free', 'school', 'she', 'set', 'up', 'five', 'years', 'ago', 'scores', 'incredible', 'haul', 'of', 'top', 'grades', 'that', 'are', 'well', 'above', 'national', 'average']",['news']
"['languages', 'gcse', 'entries', 'up', 'by', '3']",['wires']
"[""'corbynista"", 'teenager', '16', 'who', 'shares', 'two-bed', 'council', 'flat', 'with', 'his', 'parents', 'and', 'two', 'brothers', 'is', 'heading', 'to', 'eton', 'after', 'scoring', 'top', 'gcse', 'grades', 'to', 'win', '£76,000', 'scholarship']",['news']
"[""'five"", 'years', 'of', 'b', '*', '*', '*', 'and', 'i', 'passed', 'everything', ""'"", 'gcse', 'pupils', 'share', 'joy', 'and', 'despair', 'after', 'finding', 'out', 'exam', 'grades', 'today']",['news']
"['top', 'gcse', 'results', 'down', 'in', 'northern', 'ireland', 'following', 'realignment', 'with', 'england']",['wires']
"['top', 'gcse', 'grades', 'rise', 'for', 'second', 'year', 'in', 'a', 'row', 'after', 'exam', 'shake-up']",['wires']
"['schoolgirl', '16', 'reveals', 'she', 'was', 'pulled', 'out', 'of', 'a', 'gcse', 'exam', 'to', 'be', 'told', 'she', 'had', 'cancer', 'after', 'her', 'gp', 'dismissed', 'her', 'fatigue', 'for', 'anaemia']",['health']
"['so', 'much', 'for', 'harder', 'exams', 'number', 'of', 'gcse', 'pupils', 'getting', 'top', 'grades', 'rises', 'despite', 'biggest', 'shake-up', 'for', 'a', 'generation', 'as', '700,000', 'anxious', 'teenagers', 'open', 'their', 'results']",['news']
"['joy', 'and', 'tears', 'as', 'first', 'gcse', 'students', 'open', 'their', 'results', 'today', 'after', 'more', 'than', '700,000', 'sat', ""'tougher"", 'exams', 'that', 'left', 'some', 'pupils', 'so', ""'disillusioned"", 'they', 'refused', 'to', 'sit', 'them']",['news']
"[""'it"", ""'s"", 'like', 'they', 'want', 'me', 'to', 'fail', ':', 'tension', 'rises', 'for', 'gcse', 'students', 'as', 'exam', 'boards', 'release', ""'cryptic"", 'grade', 'boundaries', 'ahead', 'of', 'results', 'today']",['news']
"['hundreds', 'of', 'thousands', 'of', 'students', 'to', 'get', 'results', 'of', 'tough', 'new', 'gcses']",['wires']
"['teenagers', 'are', 'braced', 'for', 'gcse', 'misery', 'today', 'as', 'experts', 'predict', 'fewer', 'than', '1,000', 'pupils', 'will', 'achieve', 'clean', 'sweep', 'of', 'top', 'grades', 'favoured', 'by', 'oxbridge', 'after', 'education', 'bosses', 'made', 'exams', 'more', 'tough']",['news']
"['the', 'nerves', 'are', 'kicking', 'in', 'students', 'anxiously', 'awaiting', 'tomorrow', ""'s"", 'gcse', 'results', 'express', 'their', 'very', 'jittery', 'emotions', 'via', 'hilarious', 'memes']",['femail']
"['gcse', 'pupils', 'in', 'england', 'await', 'exams', 'results', 'tomorrow', 'after', ""'tougher"", 'new', '1-9', 'grading', 'system', 'was', 'rolled', 'out', 'to', 'subjects', 'this', 'year', 'spelling', 'end', 'of', 'a', '-', 'g']",['news']
"['new', 'gcse', 'grading', 'system', 'the', 'key', 'changes']",['wires']
"['gcse', 'religious', 'studies', 'increasing', 'in', 'popularity']",['wires']
"['disadvantaged', 'teenagers', 'more', 'likely', 'to', 'score', 'low', 'gcse', 'grades']",['wires']
"['are', 'gcses', 'harder', 'than', 'o-levels', 'take', 'the', 'quiz', 'to', 'find', 'out', 'if', ""'50s"", 'students', 'faced', 'a', 'tougher', 'task', 'than', 'those', 'expecting', 'their', 'results', 'this', 'week']",['femail']
"['vegetarian', 'gcse', 'student', '16', 'is', 'disqualified', 'for', ""'obscene"", 'racial', 'comments', 'because', 'she', 'criticised', 'halal', 'meat', 'in', 'religious', 'studies', 'exam']",['news']
"['education', 'leaders', 'warn', 'of', ""'alarming"", 'decline', 'as', 'number', 'of', 'pupils', 'taking', 'a-level', 'english', 'plunges', 'by', '13', 'per', 'cent', 'amid', 'fears', 'gcse', 'reforms', 'have', 'made', 'the', 'subject', 'appear', ""'too"", 'hard']",['news']
"['nando', ""'s"", 'offers', 'free', 'food', 'for', 'gcse', 'and', 'a-level', 'students', 'whether', 'they', 'have', 'something', 'to', 'celebrate', 'or', 'need', 'to', 'commiserate', 'on', 'results', 'day']",['news']
"['teenagers', 'from', 'a', 'poor', 'background', 'are', 'falling', '18', 'months', 'behind', 'their', 'wealthier', 'peers', 'in', 'gcse', 'studies', 'as', 'efforts', 'to', 'close', 'the', 'education', 'gap', 'stall']",['news']
"['wake-up', 'call´', 'for', 'government', 'as', 'report', 'shows', 'gcse', 'attainment', 'gap', 'widening']",['wires']
"['whistleblower', 'fears', 'gcse', 'english', 'students', 'are', 'being', ""'betrayed"", 'by', 'an', 'exam', 'board', 'because', 'their', 'standards', 'of', 'marking', 'are', ""'all"", 'over', 'the', 'place']",['news']
"['jade', 'goody', ""'s"", 'son', 'bobby', 'brazier', '16', 'poses', 'up', 'a', 'storm', 'as', 'he', 'starts', 'modelling', 'after', 'finishing', 'his', 'gcses']",['tvshowbiz']
"['david', 'beckham', 'and', 'son', 'romeo', '16', 'are', 'mobbed', 'by', 'a', 'delighted', 'group', 'of', 'fans', 'in', 'milan', 'as', 'the', 'footballer', 'treats', 'the', 'teen', 'to', 'a', 'trip', 'in', 'italy', 'to', 'mark', 'the', 'end', 'of', 'his', 'gcses']",['tvshowbiz']
"['david', 'beckham', 'treats', 'romeo', '16', 'to', 'a', 'father', 'and', 'son', 'day', 'out', 'to', 'a', 'watchmaking', 'studio', 'in', 'milan', 'to', 'mark', 'the', 'end', 'of', 'his', 'gcses']",['tvshowbiz']
"['drunken', 'teenagers', 'hurled', 'bottles', 'at', 'police', 'officers', 'as', 'hundreds', 'of', 'schoolchildren', 'caused', 'carnage', 'on', 'an', 'essex', 'beach', 'as', 'they', 'celebrated', 'the', 'end', 'of', 'their', 'gcse', 'exams']",['news']
"['now', 'that', ""'s"", 'commitment', 'girl', '16', 'finishes', 'final', 'gcse', 'exam', 'having', 'not', 'called', 'in', 'sick', 'in', '2,280', 'days', 'of', 'school']",['news']
"[""'what"", 'happens', 'when', 'life', 'throws', 'problems', 'at', 'us', ""'"", 'piers', 'morgan', 'attacks', ""'snowflake"", 'nonsense', 'after', 'complaints', 'a', 'gcse', 'maths', 'question', 'on', 'calories', ""'triggered"", 'teens', 'with', 'eating', 'disorders']",['news']
"['ex-waitress', 'who', 'dropped', 'out', 'of', 'school', 'after', 'gcses', 'now', 'makes', '£100k', 'a', 'year', 'on', 'the', 'stock', 'market', 'and', 'claims', 'women', 'are', 'better', 'traders', 'than', 'men', 'because', 'they', 'take', 'fewer', 'risks']",['femail']
"['scientists', 'blast', ""'inaccurate"", 'gcse', 'paper', 'which', 'replaced', 'the', 'word', ""'sex"", 'with', ""'gender"", 'as', 'they', 'accuse', 'examiners', 'of', 'bowing', 'to', 'political', 'correctness']",['news']
"['ex-headmistress', 'of', 'top', '£25,000-a-year', 'girls', 'school', 'tells', 'pushy', 'parents', 'to', 'back', 'off', 'as', 'she', 'reveals', 'how', 'one', 'distraught', 'teen', 'was', 'found', 'face-down', 'on', 'the', 'floor', 'after', 'a', 'gcse', 'a', 'grade', 'blighted', 'her', 'full', 'set', 'of', 'a', 's']",['news']
"['exclusive', 'mob', 'of', 'schoolboys', ""'fuelled"", 'by', 'vodka', 'from', 'a', 'pre-gcse', 'exam', 'party', 'destroyed', 'treasured', 'model', 'railway', 'exhibition', 'claims', ""'mortified"", 'mother']",['news']
"['schoolgirl', '16', 'threw', 'herself', 'to', 'death', 'in', 'front', 'of', 'a', 'train', 'on', 'the', 'day', 'she', 'was', 'due', 'to', 'receive', 'her', 'gcse', 'results', 'inquest', 'hears']",['news']
"['school', 'hires', ""'therapy"", 'greyhound', 'betty', 'to', 'help', 'stressed', 'teachers', 'during', 'gcse', 'exam', 'season', 'as', 'part', 'of', ""'well-being"", 'week', 'of', 'pilates', 'and', 'meditation']",['news']
"['school', 'apologises', 'after', 'headteacher', 'sends', 'pupils', 'letter', 'telling', 'them', 'their', 'gcse', 'results', 'will', ""'determine"", 'what', 'cars', 'and', 'holidays', 'they', 'will', 'be', 'able', 'to', 'afford', 'in', 'the', 'future']",['news']
"['jade', 'goody', 'and', 'jeff', 'brazier', ""'s"", 'son', 'bobby', 'brazier', '16', 'discusses', 'his', 'exam', 'stress', 'ahead', 'of', 'his', 'gcses']",['tvshowbiz']
"['pupils', 'at', '£37,000-a-year', 'malvern', 'st', 'james', 'private', 'school', 'once', 'attended', 'by', 'princess', 'alice', 'are', 'stunned', 'to', 'find', 'the', 'book', 'they', 'studied', 'is', 'not', 'on', 'their', 'gcse', 'exam', 'paper', 'following', 'teaching', 'blunder']",['news']
"['boy', '16', 'collapsed', 'and', 'died', 'after', 'celebrating', 'end', 'of', 'gcses', 'with', 'friends', 'in', 'park', 'when', 'he', 'suffered', 'allergic', 'reaction', 'to', 'pollen']",['news']
"['tough', 'exams', 'are', ""'killing"", 'off', 'modern', 'language', 'teaching', 'because', 'gcses', 'and', 'a-levels', 'are', 'marked', 'too', 'harshly', ',', 'academics', 'warn']",['news']
"['exam', 'chaos', 'as', 'two', 'gcse', 'and', 'two', 'as-level', 'papers', 'get', 'lost', 'in', 'post', 'sparking', 'police', 'probe', 'just', 'days', 'before', 'thousands', 'sit', 'tests', 'across', 'britain']",['news']
"['disgruntled', 'student', '22', 'joined', 'massive', 'talktalk', 'hack', 'and', 'blackmailed', 'chief', 'executive', 'dido', 'harding', 'after', 'he', 'flunked', 'gcses', 'and', 'missed', 'out', 'on', 'college', 'computer', 'course']",['news']
"['mother', 'of', '‘', 'perfectionist', '’', '16-year-old', 'found', 'hanged', 'after', 'struggling', 'to', 'cope', 'with', 'gcse', 'exam', 'stress', 'breaks', 'down', 'in', 'tears', 'at', 'her', 'inquest', 'as', 'she', 'reveals', 'the', 'schoolgirl', 'dreamed', 'of', 'being', 'an', 'actress']",['news']
"[""'perfectionist"", '’', 'teenager', '16', 'hanged', 'herself', 'over', 'gcse', 'exam', 'stress', 'just', 'two', 'weeks', 'after', 'emailing', 'drama', 'teacher', 'that', 'she', 'had', ""'failed"", 'as', 'her', 'grades', 'began', 'to', 'slip', 'inquest', 'hears']",['news']
"['tricky', 'gcse', 'exam', 'questions', 'will', 'put', 'your', 'knowledge', 'of', 'english', 'maths', 'and', 'science', 'to', 'the', 'test', '–', 'so', 'are', 'you', 'as', 'smart', 'as', 'a', '16-year-old']",['femail']
"['one-in-seven', 'teenagers', 'abuse', 'prescription', 'drugs', 'to', 'help', 'get', 'them', 'through', 'their', 'gcses', 'shock', 'study', 'reveals']",['news']
"[""'deviant"", 'science', 'teacher', '60', 'at', 'a', '£2,500-a-term', 'grammar', 'school', 'groomed', 'a', 'gcse', 'pupil', 'and', 'kept', 'sick', 'online', 'diary', 'of', 'their', ""'horizontal"", 'hugs']",['news']
"['piano', 'teacher', 'is', 'banned', 'from', 'the', 'classroom', 'for', 'two', 'years', 'after', 'recording', 'herself', 'playing', 'and', 'passing', 'it', 'off', 'as', 'her', 'students', 'gcse', 'exam', 'work']",['news']
"['millionaire', 'former', 'city', 'trader', 'launches', 'free', 'online', 'gcse', 'revision', 'tool', 'to', 'help', 'children', 'prepare', 'for', 'their', 'maths', 'and', 'english', 'exams']",['news']
"['secondary', 'school', 'is', 'being', 'held', 'to', 'ransom', 'after', 'a', ""'chinese"", 'cyber', 'attack', 'caused', 'the', 'loss', 'of', 'year', '11', 'students', '’', 'gcse', 'coursework']",['news']
"['little', 'miss', 'inspiration', 'her', 'taxi', 'driver', 'dad', 'worked', '80', 'hours', 'a', 'week', 'to', 'give', 'her', 'the', 'best', 'start', 'in', 'life', 'now', 'ishal', '12', 'has', 'made', 'the', 'final', 'of', 'tv', ""'s"", 'child', 'genius', 'her', 'secret', 'weapon', 'a', 'devoted', 'uncle', 'with', '26', 'gcses']",['news']
"['‘', 'there', '’', 's', 'been', 'beef', '’', 'talented', 'gcse', 'student', 'begs', 'documentary', 'makers', 'to', 'stop', 'filming', 'as', 'he', 'passes', '‘', 'rival', '’', 'london', 'school', 'as', 'he', 'lays', 'bare', 'struggle', 'to', 'succeed', 'amid', 'backdrop', 'of', 'poverty', 'and', 'knife', 'crime']",['femail']
"['angry', 'parents', 'slam', ""'utterly"", 'disgusting', 'gcse', 'biology', 'textbook', 'for', 'depicting', 'a', 'pregnant', 'woman', 'with', ""'brazilian"", 'pubic', 'hair', ""'straight"", 'out', 'of', 'a', 'porn', 'film']",['news']
"['private', 'schools', 'are', 'accused', 'of', ""'cheating"", 'the', 'system', 'by', 'having', 'pupils', 'sit', ""'easier"", 'international', 'gcses', 'instead', 'of', 'more', 'rigorous', 'new', 'exams']",['news']
"['private', 'schools', 'cheating', 'gcse', 'system', 'to', 'boost', 'results´']",['wires']
"['gcse', 'students', 'will', 'no', 'longer', 'have', 'to', 'send', 'written', 'scores', 'to', 'pass', 'exams']",['news']
"['revealed', 'adult', 'asylum', 'seeker', 'who', 'posed', 'as', 'a', '15-year-old', 'schoolboy', 'to', 'sit', 'gcses', ""'is"", 'still', 'being', 'treated', 'as', 'a', 'child', 'by', 'british', 'authorities']",['news']
"['exam', ""'lottery"", 'means', 'nearly', 'half', 'of', 'gcse', 'and', 'a-level', 'grades', 'could', 'be', 'wrong', 'study', 'finds']",['news']
"[""'if"", 'the', 'kids', 'knew', 'how', 'come', 'the', 'school', 'did', ""n't"", ""'"", 'parents', 'fury', 'after', 'it', 'emerges', 'that', 'home', 'office', 'waived', '6ft', '1ins', 'iranian', 'asylum', 'seeker', 'posing', 'as', '15-year-old', 'into', 'school', 'to', 'sit', 'gcses', 'as', 'officials', 'finally', 'admit', 'he', 'is', 'an', 'adult', 'and', 'now', 'faces', 'deportation']",['news']
"['boy', '16', 'stabbed', 'to', 'death', 'on', 'bonfire', 'night', 'is', 'named', 'as', 'wannabe', 'engineer', 'who', 'was', 'taking', 'his', 'gcses']",['news']
"['furious', 'parents', 'remove', 'children', 'from', 'school', 'over', 'claims', ""'intimidating"", '30-year-old', 'asylum', 'seeker', ""'father-of-two"", 'was', 'posing', 'as', '15-year-old', 'pupil', 'due', 'to', 'take', 'his', 'mock', 'maths', 'gcse', 'today']",['news']
"[""'how"", 'is', 'there', 'a', 'thirty-year-old', 'man', 'in', 'our', 'maths', 'class', ""'"", ""'asylum"", 'seeker', 'pupil', 'is', 'removed', 'from', 'school', 'and', 'reported', 'to', 'the', 'home', 'office', 'after', 'parents', 'and', 'classmates', 'claimed', 'he', 'was', ""'lying"", 'about', 'being', '15', 'to', 'get', 'gcses']",['news']
"['shy', 'schoolboy', '15', 'disappointed', 'by', 'his', 'mock', 'gcse', 'results', 'froze', 'to', 'death', 'in', 'a', 'field', 'after', 'he', 'skipped', 'classes']",['news']
"['publishers', 'withdraw', 'gcse', 'sociology', 'textbook', 'amid', 'race', 'row', 'as', 'section', 'that', 'describes', 'caribbean', 'families', 'says', ""'men"", 'are', 'largely', 'absent']",['news']
"['teenager', 'studied', 'for', 'gcse', 'exam', 'in', 'hours', 'after', 'escaping', 'grenfell', 'blaze']",['wires']
"['private', 'school', 'pupils', 'get', 'nearly', 'five', 'times', 'as', 'many', 'top', 'grades', 'in', 'new', 'gcses', 'after', 'developing', ""'winning"", 'formula']",['news']
"['state', 'headteachers', 'expel', 'thousands', 'of', 'troubled', 'gcse', 'students', ""'in"", 'bid', 'to', 'boost', 'schools', 'exam', 'tables', 'performance']",['news']
"[""'it"", 'was', 'a', 'bit', 'of', 'a', 'joke', ':', 'father', 'who', 'promised', 'his', 'daughter', '£100', 'for', 'every', 'a', 'gcse', 'is', 'stunned', 'to', 'discover', 'he', 'owes', 'her', '£1,400', 'after', 'she', 'got', ""'the"", 'best', 'results', 'her', 'school', 'has', 'ever', 'seen']",['femail']
"['get', 'a', 'grip', 'teenagers', 'you', ""'ve"", 'got', 'a', 'few', 'gcses', 'not', 'a', 'role', 'on', 'netflix', 'says', 'liz', 'jones']",['femail']
"['jamie', 'oliver', ""'s"", 'proud', 'wife', 'jools', 'shares', 'a', 'sweet', 'snap', 'of', 'their', 'delighted', 'daughter', 'poppy', '16', 'on', 'gcse', 'results', 'day', 'after', 'she', 'learnt', 'how', 'well', 'her', 'friends', 'had', 'done', 'in', 'their', 'exams']",['femail']
"['top', 'scores', 'for', 'the', 'stars', 'of', 'tomorrow', 'gordon', 'ramsay', 'and', 'daley', 'thompson', ""'s"", 'children', 'reveal', 'their', 'top', 'gcse', 'marks', 'proving', 'they', 'really', 'are', 'shining', 'pupils']",['news']
"['syrian', 'refugee', 'celebrates', 'gcse', 'success']",['wires']
"[""'my"", 'grades', 'were', ""n't"", 'as', 'bad', 'as', 'that', 'cv', ""'"", 'teenager', '16', 'whose', 'father', 'wrote', 'her', 'a', 'joke', 'résumé', 'has', 'last', 'laugh', 'as', 'she', 'gets', 'five', 'gcses', '...', 'and', 'hopes', 'to', 'be', 'a', 'nurse']",['news']
"['what', 'has', 'changed', 'in', 'the', 'gcse', 'reforms']",['news']
"['the', 'full', 'transcript', 'nick', 'ferrari', 'v', 'nick', 'gibb', 'on', 'gcse', 'results']",['news']
"[""'an"", '8', 'is', 'a', 'midway', 'point', 'between', '9', 'and', '7', ':', 'conservative', 'mp', 'nick', 'gibb', 'struggles', 'to', 'explain', ""'complicated"", 'new', 'gcse', 'grading', 'in', 'car', 'crash', 'interview']",['news']
"['more', 'top', 'gcse', 'grades', 'in', 'english', 'and', 'maths']",['news']
"['why', 'this', ""'school"", 'to', 'prison', 'line', 'is', 'popping', 'up', 'on', 'gcse', 'results', 'day']",['news']
"['why', 'this', 'school', 'to', 'prison´', 'tube', 'line', 'is', 'popping', 'up', 'on', 'gcse', 'results', 'day']",['wires']
"['deaf', 'student', 'in', 'shock´', 'over', 'clean', 'sweep', 'of', 'top', 'gcse', 'grades']",['wires']
"['twins', 'score', 'near', 'identical', 'results', 'to', 'top', 'school´s', 'gcse', 'results']",['wires']
"['gcse', 'french', 'entries', 'drop', 'while', 'german', 'sees', 'a', 'rise']",['news']
"['gcses', 'gap', 'between', 'boys', 'and', 'girls', 'lowest', 'for', 'eight', 'years']",['wires']
"['silence', 'is', 'golden', 'school', 'that', 'banned', 'talking', 'in', 'corridors', 'says', 'it', 'helped', 'gcse', 'results', 'soar', 'by', '10', 'in', 'a', 'year']",['news']
"['gcse', 'french', 'entries', 'drop', 'while', 'german', 'sees', 'slight', 'rise']",['wires']
"['in', 'pictures', 'what', 'a', 'result', 'it´s', 'gcse', 'day']",['wires']
